kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,1,4,0,0,0.1,0.1,0.134303,0.0001419
0,1,4,0,2500000.0,0,0,0.1782455,0.0038011
0,1,4,0,2500000.0,0,0,0.1098983,-0.0003703
0,1,4,0,2500000.0,0,0.1,0.1910566,0.0036569
0,1,4,0,2500000.0,0,0.1,0.1003758,-0.0002475
0,1,4,0,2500000.0,0.1,0,0.162085,0.0033983
0,1,4,0,2500000.0,0.1,0,0.1133933,-0.0003382
0,1,4,0,2500000.0,0.1,0.1,0.1735366,0.0032644
0,1,4,0,2500000.0,0.1,0.1,0.1036826,-0.0002239
0,1,4,2500000.0,0,0,0,0.1192458,0.0033429
0,1,4,2500000.0,0,0,0,0.1652608,-0.000196
0,1,4,2500000.0,0,0,0.1,0.1243055,0.0034945
0,1,4,2500000.0,0,0,0.1,0.1505064,-0.0001364
0,1,4,2500000.0,0,0.1,0,0.1087987,0.003017
0,1,4,2500000.0,0,0.1,0,0.1784019,-0.0001041
0,1,4,2500000.0,0,0.1,0.1,0.1134674,0.0031366
0,1,4,2500000.0,0,0.1,0.1,0.1622676,-6.74e-05
0,1,4,2500000.0,2500000.0,0,0,0.1402668,0.0033366
0,1,4,2500000.0,2500000.0,0,0,0.1292974,-0.0005261
0,1,4,2500000.0,2500000.0,0,0.1,0.1499316,0.0033083
0,1,4,2500000.0,2500000.0,0,0.1,0.1179234,-0.000423
0,1,4,2500000.0,2500000.0,0.1,0,0.1277372,0.0029948
0,1,4,2500000.0,2500000.0,0.1,0,0.1386135,-0.0004096
0,1,4,2500000.0,2500000.0,0.1,0.1,0.1364275,0.0029581
0,1,4,2500000.0,2500000.0,0.1,0.1,0.1263449,-0.0003309
0,2,0,0,0,0,0,0.6916882,0.0008612
0,2,0,0,0,0,0,0.6906749,0.0004547
0,2,0,0,0,0,0.1,0.7030528,0.0007475
0,2,0,0,0,0,0.1,0.6216084,0.0004092
0,2,0,0,0,0.1,0,0.6225203,0.0007751
0,2,0,0,0,0.1,0,0.7021321,0.0003696
0,2,0,0,0,0.1,0.1,0.6327483,0.0006727
0,2,0,0,0,0.1,0.1,0.6319196,0.0003326
0,2,0,0,2500000.0,0,0,0.7091568,0.0011173
0,2,0,0,2500000.0,0,0,0.5970916,0.0003023
0,2,0,0,2500000.0,0,0.1,0.7192029,0.001035
0,2,0,0,2500000.0,0,0.1,0.5373833,0.000272
0,2,0,0,2500000.0,0.1,0,0.6382417,0.0010056
0,2,0,0,2500000.0,0.1,0,0.6076645,0.0002349
0,2,0,0,2500000.0,0.1,0.1,0.6472831,0.0009314
0,2,0,0,2500000.0,0.1,0.1,0.5468988,0.0002114
0,2,0,2500000.0,0,0,0,0.597789,0.0005722
0,2,0,2500000.0,0,0,0,0.708151,0.0006239
0,2,0,2500000.0,0,0,0.1,0.6082933,0.0004848
0,2,0,2500000.0,0,0,0.1,0.6373366,0.0005614
0,2,0,2500000.0,0,0.1,0,0.538011,0.0005149
0,2,0,2500000.0,0,0.1,0,0.7182784,0.0005715
0,2,0,2500000.0,0,0.1,0.1,0.5474647,0.0004363
0,2,0,2500000.0,0,0.1,0.1,0.6464511,0.0005143
0,2,0,2500000.0,2500000.0,0,0,0.6141122,0.0008127
0,2,0,2500000.0,2500000.0,0,0,0.6134014,0.0004559
0,2,0,2500000.0,2500000.0,0,0.1,0.6233557,0.0007522
0,2,0,2500000.0,2500000.0,0,0.1,0.5520619,0.0004103
0,2,0,2500000.0,2500000.0,0.1,0,0.5527016,0.0007314
0,2,0,2500000.0,2500000.0,0.1,0,0.6227074,0.000417
0,2,0,2500000.0,2500000.0,0.1,0.1,0.5610206,0.0006769
0,2,0,2500000.0,2500000.0,0.1,0.1,0.5604372,0.0003753
0,2,1,0,0,0,0,0.1340508,-0.0016519
0,2,1,0,0,0,0,0.1350282,-0.0010143
0,2,1,0,0,0,0.1,0.1416381,-0.0012236
0,2,1,0,0,0,0.1,0.1253301,-0.0010411
0,2,1,0,0,0.1,0,0.1242834,-0.0016219
0,2,1,0,0,0.1,0,0.1422465,-0.0009265
0,2,1,0,0,0.1,0.1,0.1311949,-0.001208
0,2,1,0,0,0.1,0.1,0.131902,-0.0009338
0,2,1,0,2500000.0,0,0,0.1133957,-0.001142
0,2,1,0,2500000.0,0,0,0.1532592,-0.0006938
0,2,1,0,2500000.0,0,0.1,0.1211506,-0.0007747
0,2,1,0,2500000.0,0,0.1,0.1415594,-0.0006903
0,2,1,0,2500000.0,0.1,0,0.1051677,-0.0011517
0,2,1,0,2500000.0,0.1,0,0.16098,-0.0005624
0,2,1,0,2500000.0,0.1,0.1,0.1123904,-0.0007889
0,2,1,0,2500000.0,0.1,0.1,0.1484261,-0.0005623
0,2,1,2500000.0,0,0,0,0.1519584,-0.0007013
0,2,1,2500000.0,0,0,0,0.1139708,-0.0005006
0,2,1,2500000.0,0,0,0.1,0.159978,-0.0004471
0,2,1,2500000.0,0,0,0.1,0.1058262,-0.0005955
0,2,1,2500000.0,0,0.1,0,0.1402025,-0.0007391
0,2,1,2500000.0,0,0.1,0,0.1212643,-0.0005155
0,2,1,2500000.0,0,0.1,0.1,0.1473599,-0.0004913
0,2,1,2500000.0,0,0.1,0.1,0.1126334,-0.000573
0,2,1,2500000.0,2500000.0,0,0,0.1363142,-0.0002351
0,2,1,2500000.0,2500000.0,0,0,0.1371413,-0.0003879
0,2,1,2500000.0,2500000.0,0,0.1,0.1451747,-2.24e-05
0,2,1,2500000.0,2500000.0,0,0.1,0.1267123,-0.0004083
0,2,1,2500000.0,2500000.0,0.1,0,0.1258046,-0.0002984
